               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028869,              0.0157,                   0,             0.88789,             0.85855,             0.87363,             0.47378,            0.025139,            0.015833,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027403,            0.015179,                   0,              0.8638,             0.83925,             0.85243,             0.45975,            0.025613,             0.01594,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027267,            0.014648,                   0,             0.88233,             0.86168,             0.86724,             0.47263,            0.026012,            0.016192,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027028,            0.014142,                   0,             0.88277,             0.85858,             0.86713,             0.47291,            0.025275,            0.015696,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025699,            0.013594,                   0,             0.86868,             0.85318,             0.86815,             0.47501,            0.024274,            0.015861,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026984,            0.014319,                   0,             0.89776,             0.86986,             0.89224,             0.49314,            0.024311,            0.015586,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026722,            0.014369,                   0,             0.88826,             0.86177,             0.88515,              0.4859,            0.024895,            0.015587,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027772,            0.014788,                   0,             0.90442,             0.86665,             0.89222,             0.48415,            0.025684,            0.015724,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02613,             0.01334,                   0,              0.8971,             0.88037,             0.89292,              0.4846,            0.024468,            0.015661,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025368,            0.014526,                   0,             0.88602,             0.87176,             0.88491,             0.48293,            0.024776,            0.016224,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026263,            0.014018,                   0,             0.87445,             0.85923,             0.86163,             0.47096,            0.023905,            0.015741,                   0,            0.005248,            0.005248,            0.005248
